Issue,Factor,Severity,Impact,Remediations,Link
domain_missing_https_v2,application_security,HIGH,-1.9,74,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/domain_missing_https_v2
outdated_browser,endpoint_security,HIGH,-12.6,838,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/endpoint_security/outdated_browser
outdated_os,endpoint_security,HIGH,-4.2,2,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/endpoint_security/outdated_os
malware_infection,ip_reputation,HIGH,-0.7,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/ip_reputation/malware_infection
ssh_weak_protocol,network_security,HIGH,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/ssh_weak_protocol
tls_weak_protocol,network_security,HIGH,-0.4,53,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tls_weak_protocol
patching_cadence_high,patching_cadence,HIGH,-0.3,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_high
patching_cadence_v3_high,patching_cadence,HIGH,-0.3,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_v3_high
service_vuln_host_v3_high,patching_cadence,HIGH,-0.3,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_v3_high
patching_cadence_v3_critical,patching_cadence,HIGH,-0.5,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_v3_critical
service_vuln_host_high,patching_cadence,HIGH,-0.3,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_high
service_vuln_host_v3_critical,patching_cadence,HIGH,-0.5,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_v3_critical
insecure_https_redirect_pattern_v2,application_security,MEDIUM,-1.0,48,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/insecure_https_redirect_pattern_v2
csp_no_policy_v2,application_security,MEDIUM,-1.3,180,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/csp_no_policy_v2
redirect_chain_contains_http_v2,application_security,MEDIUM,-0.9,31,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/redirect_chain_contains_http_v2
hsts_incorrect_v2,application_security,MEDIUM,-1.4,138,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/hsts_incorrect_v2
spf_record_missing,dns_health,MEDIUM,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/dns_health/spf_record_missing
mail_server_unusual_port,ip_reputation,MEDIUM,-1.0,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/ip_reputation/mail_server_unusual_port
adware_installation,ip_reputation,MEDIUM,-1.3,2,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/ip_reputation/adware_installation
service_pptp,network_security,MEDIUM,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_pptp
tls_weak_cipher,network_security,MEDIUM,-0.2,55,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tls_weak_cipher
ssh_weak_cipher,network_security,MEDIUM,-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/ssh_weak_cipher
ssh_weak_mac,network_security,MEDIUM,-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/ssh_weak_mac
service_postgresql,network_security,MEDIUM,-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_postgresql
tlscert_weak_signature,network_security,MEDIUM,-0.2,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tlscert_weak_signature
tlscert_expired,network_security,MEDIUM,-0.2,46,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tlscert_expired
service_vnc,network_security,MEDIUM,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_vnc
service_mysql,network_security,MEDIUM,-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_mysql
tlscert_self_signed,network_security,MEDIUM,-0.2,92,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tlscert_self_signed
service_ldap,network_security,MEDIUM,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_ldap
patching_cadence_v3_medium,patching_cadence,MEDIUM,-0.2,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_v3_medium
service_vuln_host_v3_medium,patching_cadence,MEDIUM,-0.2,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_v3_medium
service_vuln_host_medium,patching_cadence,MEDIUM,-0.2,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_medium
patching_cadence_medium,patching_cadence,MEDIUM,-0.2,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_medium
x_frame_options_incorrect_v2,application_security,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/x_frame_options_incorrect_v2
x_content_type_options_incorrect_v2,application_security,LOW,-0.4,177,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/x_content_type_options_incorrect_v2
cookie_missing_secure_attribute,application_security,LOW,-0.4,36,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/cookie_missing_secure_attribute
csp_too_broad_v2,application_security,LOW,-0.8,35,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/csp_too_broad_v2
cookie_missing_http_only,application_security,LOW,-0.3,11,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/application_security/cookie_missing_http_only
tlscert_excessive_expiration,network_security,LOW,<-0.1,88,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tlscert_excessive_expiration
tlscert_no_revocation,network_security,LOW,<-0.1,114,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/tlscert_no_revocation
service_ftp,network_security,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_ftp
service_telnet,network_security,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/network_security/service_telnet
patching_cadence_v3_low,patching_cadence,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_v3_low
patching_cadence_low,patching_cadence,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/patching_cadence_low
service_vuln_host_v3_low,patching_cadence,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_v3_low
service_vuln_host_low,patching_cadence,LOW,<-0.1,1,https://platform.securityscorecard.io/#/scorecard/drexel.edu/issues/patching_cadence/service_vuln_host_low
